timestamp,open,high,low,close,volume
2021-07-16 04:07:00,31971.64,31994.62,31971.64,31978.03,14.626623
2021-07-16 04:08:00,31979.02,31997.4,31978.1,31992.85,11.516618
2021-07-16 04:09:00,31992.86,32009.01,31991.34,32006.55,8.951341
2021-07-16 04:10:00,32008.96,32020.0,31990.83,31999.71,25.286608
2021-07-16 04:11:00,31999.72,32001.83,31951.07,31968.12,29.697232
2021-07-16 04:12:00,31968.12,31986.34,31950.0,31983.87,19.557853
2021-07-16 04:13:00,31980.9,32017.75,31979.26,32002.43,18.766185
2021-07-16 04:14:00,32002.23,32003.56,31950.8,31958.66,37.595421
2021-07-16 04:15:00,31958.65,31977.07,31950.11,31954.47,67.439606
2021-07-16 04:16:00,31954.46,31954.47,31914.32,31914.33,74.990224
2021-07-16 04:17:00,31914.33,31929.99,31862.18,31919.44,97.009882
2021-07-16 04:18:00,31917.45,31925.84,31899.46,31910.0,10.008671
2021-07-16 04:19:00,31910.01,31930.89,31910.01,31925.21,26.594126
2021-07-16 04:20:00,31922.61,31947.7,31921.66,31942.47,11.023879
2021-07-16 04:21:00,31942.47,31950.0,31926.24,31929.5,8.895862
2021-07-16 04:22:00,31929.49,31947.99,31929.49,31938.57,8.477096
2021-07-16 04:23:00,31938.57,31947.36,31933.76,31947.36,14.940919
2021-07-16 04:24:00,31947.36,31947.36,31925.49,31944.5,7.626618
2021-07-16 04:25:00,31943.69,31950.0,31925.51,31925.51,14.552347
2021-07-16 04:26:00,31925.52,31932.02,31896.46,31909.1,22.766684
2021-07-16 04:27:00,31909.1,31909.1,31851.27,31861.09,29.303288
2021-07-16 04:28:00,31861.21,31907.81,31861.21,31890.21,114.400503
2021-07-16 04:29:00,31890.22,31894.23,31875.28,31885.6,31.660028
2021-07-16 04:30:00,31885.61,31886.28,31859.31,31867.39,17.120307
2021-07-16 04:31:00,31867.39,31882.71,31864.32,31869.49,11.018714
2021-07-16 04:32:00,31869.49,31880.03,31869.49,31878.84,9.848195
2021-07-16 04:33:00,31878.84,31899.93,31878.84,31889.93,33.315715
2021-07-16 04:34:00,31889.93,31906.44,31877.44,31880.95,17.262284
2021-07-16 04:35:00,31880.94,31906.91,31877.44,31902.01,13.522712
2021-07-16 04:36:00,31902.01,31909.99,31900.0,31900.01,6.277179
2021-07-16 04:37:00,31900.0,31909.99,31884.47,31907.09,7.620246
2021-07-16 04:38:00,31907.1,31910.51,31902.15,31902.99,8.444649
2021-07-16 04:39:00,31902.16,31948.57,31902.16,31929.89,71.993361
